Week_start_dates,Month,Year
2014-06-15,6,2014
2014-06-22,6,2014
2014-06-29,6,2014
2014-07-06,7,2014
2014-07-13,7,2014
2014-07-20,7,2014
2014-07-27,7,2014
2014-08-03,8,2014
2014-08-10,8,2014
2014-08-17,8,2014
2014-08-24,8,2014
2014-08-31,8,2014
2014-09-07,9,2014
2014-09-14,9,2014
2014-09-21,9,2014
2014-09-28,9,2014
2014-10-05,10,2014
2014-10-12,10,2014
2014-10-19,10,2014
2014-10-26,10,2014
2014-11-02,11,2014
2014-11-09,11,2014
2014-11-16,11,2014
2014-11-23,11,2014
2014-11-30,11,2014
2014-12-07,12,2014
2014-12-14,12,2014
2014-12-21,12,2014
2014-12-28,12,2014
2015-01-04,1,2015
2015-01-11,1,2015
2015-01-18,1,2015
2015-01-25,1,2015
2015-02-01,2,2015
2015-02-08,2,2015
2015-02-15,2,2015
2015-02-22,2,2015
2015-03-01,3,2015
2015-03-08,3,2015
2015-03-15,3,2015
2015-03-22,3,2015
2015-03-29,3,2015
2015-04-05,4,2015
2015-04-12,4,2015
2015-04-19,4,2015
2015-04-26,4,2015
2015-05-03,5,2015
2015-05-10,5,2015
2015-05-17,5,2015
2015-05-24,5,2015
2015-05-31,5,2015
2015-06-07,6,2015
2015-06-14,6,2015
2015-06-21,6,2015
2015-06-28,6,2015
2015-07-05,7,2015
2015-07-12,7,2015
2015-07-19,7,2015
2015-07-26,7,2015
2015-08-02,8,2015
2015-08-09,8,2015
2015-08-16,8,2015
2015-08-23,8,2015
2015-08-30,8,2015
2015-09-06,9,2015
2015-09-13,9,2015
2015-09-20,9,2015
2015-09-27,9,2015
2015-10-04,10,2015
2015-10-11,10,2015
2015-10-18,10,2015
2015-10-25,10,2015
2015-11-01,11,2015
2015-11-08,11,2015
2015-11-15,11,2015
2015-11-22,11,2015
2015-11-29,11,2015
2015-12-06,12,2015
2015-12-13,12,2015
2015-12-20,12,2015
2015-12-27,12,2015
2016-01-03,1,2016
2016-01-10,1,2016
2016-01-17,1,2016
2016-01-24,1,2016
2016-01-31,1,2016
2016-02-07,2,2016
2016-02-14,2,2016
2016-02-21,2,2016
2016-02-28,2,2016
2016-03-06,3,2016
2016-03-13,3,2016
2016-03-20,3,2016
2016-03-27,3,2016
2016-04-03,4,2016
2016-04-10,4,2016
2016-04-17,4,2016
2016-04-24,4,2016
2016-05-01,5,2016
2016-05-08,5,2016
2016-05-15,5,2016
2016-05-22,5,2016
2016-05-29,5,2016
2016-06-05,6,2016
2016-06-12,6,2016
2016-06-19,6,2016
2016-06-26,6,2016
2016-07-03,7,2016
2016-07-10,7,2016
2016-07-17,7,2016
2016-07-24,7,2016
2016-07-31,7,2016
2016-08-07,8,2016
2016-08-14,8,2016
2016-08-21,8,2016
2016-08-28,8,2016
2016-09-04,9,2016
2016-09-11,9,2016
2016-09-18,9,2016
2016-09-25,9,2016
2016-10-02,10,2016
2016-10-09,10,2016
2016-10-16,10,2016
2016-10-23,10,2016
2016-10-30,10,2016
2016-11-06,11,2016
2016-11-13,11,2016
2016-11-20,11,2016
2016-11-27,11,2016
2016-12-04,12,2016
2016-12-11,12,2016
2016-12-18,12,2016
2016-12-25,12,2016
