"Week_start_dates","Bakery","Dry_and_baking","Dairy","Canned","Frozen","Beverages","Health_and_beauty","Produce"
2010-01-03,128,130.64,110.65,84.71,89.88,75.13,48.51,15.2
2010-01-10,138.86,140.15,113.67,94.36,77.29,64.02,50.25,11.72
2010-01-17,166.23,106.72,116.06,90.75,91.64,66.59,51.13,11.15
2010-01-24,142.92,131.01,115.17,99.88,76.52,69.94,51.04,14
2010-01-31,136.93,115.55,105.59,92.17,85.21,75.12,44.36,14.01
2010-02-07,127.63,126.65,105.89,70.21,79.13,69.67,48.43,12.63
2010-02-14,140.46,120.81,93.42,86.95,71.08,65.05,38.71,12.35
2010-02-21,113.03,120.63,101.32,84.64,80.52,65.2,46.5,10.26
2010-02-28,146.62,105.16,98.78,85.45,72.41,68.45,43.37,11.09
2010-03-07,138.15,108.07,111.45,79.88,66.16,58.69,39.02,8.95
2010-03-14,120.33,103.95,96.7,75.78,66.51,51.07,34.56,8.5
2010-03-21,121.78,111.22,83.2,81.22,67.96,55.1,43.59,8.16
2010-03-28,147.91,117.63,104.2,81.68,60.84,68.44,36.2,12.39
2010-04-04,122.14,115.54,99.87,77.31,53.28,59.5,34.41,11.73
2010-04-11,128.71,97.44,92.66,76.29,66.96,52.23,31.16,18.77
2010-04-18,133.83,106.63,100.21,67.35,56.16,55.24,31.87,16.92
2010-04-25,136.25,97.88,97.6,80.87,71.37,49.12,33.54,8.97
2010-05-02,122.12,100.64,88.42,74.04,73.83,69.93,34.59,14.56
2010-05-09,117.03,108.26,125.45,71.41,67.29,58.41,43.57,4.57
2010-05-16,137.13,111.92,98.17,62.71,66.51,55.13,38.3,14.81
2010-05-23,124.69,111.93,104.91,76.45,77.71,64.52,38.68,18.69
2010-05-30,125.04,108.59,96.44,76.29,61.98,54.58,41.73,15.05
2010-06-06,149.65,117.28,106.37,82.51,69.87,61.4,42.91,9.13
2010-06-13,137.92,123.93,111.92,84.11,80.86,54.16,44.12,12.39
2010-06-20,132.05,128.09,103.27,84.71,67.61,54.4,41.75,9.71
2010-06-27,128.11,119.13,105.44,79.94,65.7,63.85,39.79,11.81
2010-07-04,152.49,121.29,112.07,97.12,81.16,75.74,51.08,5.94
2010-07-11,134.19,134.93,101.28,91.77,89.36,80.95,54.23,11.83
2010-07-18,138.98,119.03,108.01,99.51,81.33,77.02,58.2,12.54
2010-07-25,133.76,127.83,109.31,93.77,78.91,74.39,52.84,7.52
2010-08-01,155.14,135.92,112.8,122,92.63,86.01,67.06,11.92
2010-08-08,143.67,129.41,126.01,101.85,101.18,81.92,66.42,9.16
2010-08-15,153.95,116.52,124.08,108.32,93.16,89.2,60.65,19.58
2010-08-22,159.23,152.52,96.26,105.53,87.37,87.42,61.84,8.24
2010-08-29,140.03,134.53,124.46,89.84,100.83,95.49,65.46,10.17
2010-09-05,174.41,163.42,149.18,145.98,121.92,110.33,87.65,13.15
2010-09-12,187.73,154.54,147.2,132.69,115.28,106.01,89.25,5.45
2010-09-19,187.02,163.26,145.92,138.81,135.35,118.22,88.38,13.58
2010-09-26,180.93,158.48,151.41,138.84,121.91,110.52,92.34,9.36
2010-10-03,286.72,246.14,222.61,202.64,201.4,188.43,171.38,177.05
2010-10-10,253.77,249.2,229.97,223.36,208.22,172.67,176.13,180.63
2010-10-17,239.9,234.89,226.95,211.45,185.47,184.1,173.17,174.45
2010-10-24,254.98,242.43,227.15,205.44,194.19,196.87,172.98,172.45
2010-10-31,268.19,230.7,231.43,215.06,208.29,188.19,165.82,174.44
2010-11-07,173.64,154.28,158.08,141.64,128.32,107.16,89.82,18.75
