"Week_start_dates","Bakery","Dry_and_baking","Dairy","Canned","Frozen","Beverages","Health_and_beauty","Produce"
2010-01-03,219.84,201.91,172.01,145.75,109.27,97.1,47.34,22.56
2010-01-10,208.29,207.59,175.74,126.3,112.41,97.06,64.44,27.51
2010-01-17,233.7,196.39,184.09,133.83,123.21,101.45,62.24,33.2
2010-01-24,262.1,226.03,180.72,140.76,125.79,94.95,59.15,24.34
2010-01-31,240.98,193.26,163.51,135.65,115.73,107.2,59.31,22.38
2010-02-07,217.09,185.71,162.21,125.08,95.55,109.95,56.42,25.99
2010-02-14,254.31,215.22,156.81,124.64,111.42,99.52,55.17,18.5
2010-02-21,257.67,174.28,160.16,132.69,124.87,82.75,48.55,19.54
2010-02-28,221.68,206.94,172.05,129.13,124.66,92.73,49.02,20.08
2010-03-07,225.01,164.77,168.5,152.53,116.16,98.96,44.42,28.76
2010-03-14,247.2,191.99,155.88,135.47,118.36,90.44,41.67,17.38
2010-03-21,235.87,206.58,173.66,128.73,110.69,75.59,48.14,26.71
2010-03-28,222.97,178.33,162.05,117.95,117.34,82.68,44.24,29.13
2010-04-04,214.76,200.46,174.48,103.77,97.56,69.79,48.16,24.67
2010-04-11,220.92,183.41,176.16,126.09,94.59,72.74,33.26,19.57
2010-04-18,237.24,187.43,165.11,110.73,110.37,77.28,46.04,25.99
2010-04-25,226.89,208.05,164.4,109.71,117.5,88.56,44.77,23.11
2010-05-02,212.32,178.47,164.43,122.95,100.45,86.63,49.06,20.58
2010-05-09,245.11,199.21,171.3,132.41,98.33,77.75,56.92,22.76
2010-05-16,215.68,203.73,175.74,123.05,104.56,80.52,51.04,23.55
2010-05-23,198.83,187.93,164.7,125.27,109.52,86.28,46.75,18.11
2010-05-30,232.32,171.95,173.77,131.83,111.1,88.85,45.62,27.11
2010-06-06,256.37,174.69,172.58,133.35,114.4,89.28,57.01,26.17
2010-06-13,220.33,192.05,182.24,122.55,112.09,76.59,50.01,23.85
2010-06-20,198.52,196.87,185.41,119.26,105.98,93.03,51.11,15.32
2010-06-27,226.31,199.89,174.35,146.02,109.12,82.21,54.69,20.93
2010-07-04,246.84,215.86,197.39,138.85,121.36,99.25,55.87,21.31
2010-07-11,223.84,204.08,170.95,145.69,120.35,84.39,55.07,28.29
2010-07-18,248.8,212.63,197.12,149.9,126.96,109.45,57.13,24.9
2010-07-25,226.13,187,173.62,140.37,123.51,100.51,56.69,32.41
2010-08-01,273.06,201.5,178.39,179.66,136.98,116.33,81.32,33.9
2010-08-08,256.78,203.76,176.79,160.83,133.12,110.24,70.69,18.65
2010-08-15,254.93,224.58,183.48,162.51,123.37,121.3,72.67,15.26
2010-08-22,258.01,222.36,189.45,154.06,131.3,113.04,65.59,33.58
2010-08-29,232.78,193.78,201.41,169.15,142.13,99.46,72.43,19.66
2010-09-05,286.6,238.31,224.09,182.77,172.99,136.78,100.88,13.45
2010-09-12,260.27,229.96,201.25,170.3,154.77,151.11,102,27.29
2010-09-19,280.66,229.91,237.85,189.08,170.17,136.24,94.99,26.24
2010-09-26,294.52,249.69,225.58,168.79,156.85,152.14,93.56,30.79
2010-10-03,360.99,342.93,325.7,263.42,251.77,216.87,180.76,184.68
2010-10-10,348.89,306.65,300.08,261.02,228.84,213.68,177.39,165.43
2010-10-17,351.59,336.22,307.65,250.46,239.41,226.71,177.39,188.05
2010-10-24,394.26,311.23,308.74,275.54,257.49,211.64,179.48,191.7
2010-10-31,384.34,327.9,313.55,258.36,237.42,212.56,181.84,193.6
2010-11-07,242.1,249.49,232.75,181.42,166.35,140.6,97.43,27.04
2010-11-14,276.35,239.32,216.25,174.09,146.63,129.76,92.99,26.56
2010-11-21,267.92,226.95,241.57,184.99,150.52,142.14,92.75,30.2
2010-11-28,273.16,244.77,248.85,186.56,162.84,145.18,105.67,23.36
2010-12-05,247.38,217.67,185.77,161.12,138.83,123.39,80.19,22.52
