"Week_start_dates","Bakery","Dry_and_baking","Dairy","Canned","Frozen","Beverages","Health_and_beauty","Produce"
2010-01-03,256.41,221.57,190.59,156.73,136.85,113.27,60.43,26.22
2010-01-10,240.48,207.49,165.66,151.02,129.89,102.8,59.94,15.93
2010-01-17,276.81,216.97,190.61,155.91,115.57,96.05,59.86,31.99
2010-01-24,235.02,207.14,178.73,164.48,118.11,106.45,59.62,23.78
2010-01-31,258.19,207.04,198.81,153.87,121.73,96.61,57.87,15.06
2010-02-07,268.84,213.16,205.18,135.41,116.39,100.19,58.21,24.49
2010-02-14,248.31,209.53,163.81,138.87,130.06,93.23,51.88,26.68
2010-02-21,254.17,187.64,187.71,159.49,123.08,89.96,46.14,28.24
2010-02-28,246.25,201.03,195.69,130.14,128.09,91.32,54.15,25.74
2010-03-07,240.65,206.74,177.57,146.12,93.96,104.08,42.99,32.87
2010-03-14,218.93,207.99,173.35,125.4,93.77,89.68,52.12,36.91
2010-03-21,218.68,217.28,197.11,132.87,110.85,78.69,47.9,18.9
2010-03-28,252.06,204.75,167.1,143.62,120.73,81.31,42.61,29.09
2010-04-04,244.96,201.29,166.33,125.81,90.71,101.51,50.96,28.76
2010-04-11,236.6,171.45,175.17,122.76,112.02,97.08,51.52,30.43
2010-04-18,258.8,185.55,172.67,129.52,108.87,88.98,39.58,24.97
2010-04-25,230.69,188.07,174.41,123.69,123.92,77.04,54.78,22.4
2010-05-02,250.69,209.64,192.31,124.7,123.85,84.04,50.41,18.41
2010-05-09,263.75,186.14,181.87,141.85,117.58,97.41,44.01,22.77
2010-05-16,221.35,201.17,203.1,132.84,115.2,83.39,47.27,17.66
2010-05-23,243.41,189.49,174.42,134.58,130.73,91.7,44.81,30.62
2010-05-30,245.21,191.81,185.17,124.11,111.16,90.97,45.44,27.48
2010-06-06,300.84,204.87,191.4,130.26,120.94,92.3,43.11,31.45
2010-06-13,267.06,217.14,189.78,130.24,119.63,99.3,50.15,24.51
2010-06-20,228.87,193.87,190.75,155.71,119.13,104.77,56.46,28.37
2010-06-27,252.11,193.3,182.77,152.69,122.89,105.34,57.87,28.86
2010-07-04,242.58,218.45,189.02,155.05,145.04,105.37,66.21,28.67
2010-07-11,272.44,207.51,201.05,159.53,123.12,108.61,59.53,22.65
2010-07-18,271.12,244.87,179.78,159.53,130.54,89.99,61.02,18.33
2010-07-25,268.97,212.7,215.45,157.19,111.48,107.17,63.44,16.77
2010-08-01,265.33,206.74,207.25,162.25,146.75,105.03,71.85,28.56
2010-08-08,259.11,195.29,198.39,157.09,113.91,131.2,77.05,19.62
2010-08-15,289.43,233.83,214.23,162.52,123.52,118.23,74.44,27.42
2010-08-22,275.6,246.17,195.01,145.93,132.15,126.81,73.05,34.55
2010-08-29,290.02,239.59,176.24,155.35,139.3,103.66,77.14,23.25
2010-09-05,284.86,238.25,221.58,155.76,167.65,143.5,107.12,21.55
2010-09-12,278.73,258.5,240.96,181.57,179.43,139.97,100.08,27.01
2010-09-19,297.66,236.67,223.83,184.69,181.31,145.1,97.9,24.31
2010-09-26,305.57,233.7,221.48,185.71,160.59,137.82,101.93,30.09
2010-10-03,372.06,361.26,316.51,275.45,236.98,235.9,176.95,190.85
2010-10-10,359.54,316.04,300.97,255.67,243.95,222.61,182.45,180.89
2010-10-17,368.65,334.07,312.91,262.76,233.07,223.93,185.54,178.65
2010-10-24,397.18,315.51,304.97,246.86,247.02,218.95,181.29,188.83
2010-10-31,374.79,322.83,320.48,263.22,255.62,215.92,176.01,195.37
2010-11-07,295.02,244.19,204.85,198.24,170.64,149.07,103.51,27.49
2010-11-14,285.03,254.81,238.78,192.06,167.08,122.46,102.25,24.04
2010-11-21,305.3,256.91,247.44,183.02,179.03,146.19,102.54,27.02
2010-11-28,279.91,224.6,252.89,200.66,169.36,135.64,106.23,21.65
2010-12-05,272.36,244.98,220.13,177.93,159.44,135.68,86.86,21.88
2010-12-12,271.22,244.87,190.23,153.48,137.69,121.37,74.96,25.02
2010-12-19,270.09,203.71,193.03,168.26,148.69,116.08,78.31,35.9
2010-12-26,273.69,226.32,219.2,163.06,136.16,116.63,78.29,26.43
2011-01-02,294.67,253.76,240.82,170.38,155.2,140.39,98.47,28.65
2011-01-09,299.8,250.27,230.35,188.69,186.84,144.21,95.02,17.28
2011-01-16,310.49,237.24,240.42,168.09,190.98,142.22,104.92,38.71
2011-01-23,293.68,249.82,222.29,175.12,189.81,144.36,100.48,26.21
2011-01-30,303.31,251.32,226.49,189.55,167.82,148.08,104.12,22.29
2011-02-06,277.1,238.64,217.18,178.02,151.33,133.46,88.66,32.09
2011-02-13,288.77,244.81,204.36,163.14,158.76,139.93,77.87,24.48
2011-02-20,267.02,234.04,205.27,168.58,144.5,131.01,83.27,27.75
2011-02-27,261.96,258.83,209.06,157.34,154.16,140.55,96.35,22.42
2011-03-06,270.71,206.08,203.73,162.68,141.87,123.97,78.24,27.55
2011-03-13,271.02,224.72,204.98,165.49,146.12,125.48,75.9,21.45
2011-03-20,263.36,228.88,210.99,169.35,130.06,126.12,79.58,36.7
2011-03-27,261.63,246.93,207.77,153.23,123.89,119.03,78.13,31.12
2011-04-03,272.52,253.49,191.42,150.24,134,114.51,70.3,33.54
2011-04-10,250.74,243.18,200.76,150.41,144.26,111.84,65.08,31.5
2011-04-17,285.51,190.02,200.4,154,119.02,120.69,64.68,28.79
2011-04-24,255.41,242.23,196.36,158.87,126.14,111.43,67.43,13.33
2011-05-01,288.73,231.18,192.68,151.58,132.15,118.96,78.05,28.78
2011-05-08,249.03,214.42,211.47,164.37,138.04,121.37,76.51,29.3
2011-05-15,254.8,235.34,223.98,166.14,145.83,110.69,80.6,28.07
2011-05-22,285.18,214.56,197.17,158.5,128.23,127.06,76.67,30.43
2011-05-29,261.56,212.76,185.09,161.87,143.57,119.19,74.53,27.7
2011-06-05,259.51,250.37,196.3,161.22,150.15,111.31,81.1,23.87
2011-06-12,295.7,244.87,212.01,157.81,147.11,130.17,78.4,29.05
2011-06-19,302.69,261.79,227.85,188.3,169.2,142.05,89.73,28.8
2011-06-26,272.52,239.74,202,165.28,155.34,137.36,83.71,27.5
2011-07-03,315.22,254.74,221.77,188.99,173.3,139.01,96.51,35.53
2011-07-10,297.87,237.66,229.33,198.25,176.38,140.14,108.73,27.51
2011-07-17,303.52,262.24,224.71,204.92,173.77,148.27,101.04,29.58
2011-07-24,277.55,275.03,230.04,166.58,179.09,140.59,98.58,23.97
2011-07-31,319.18,240.99,249.98,186.47,190.71,139.61,110.72,26.02
2011-08-07,313.86,287.88,244.66,216.3,192.43,169.87,124.95,23.89
2011-08-14,336.47,265.58,256.29,201.57,178.71,178.86,124.84,31.32
2011-08-21,325.76,294.26,253.66,212.7,195,168.34,130.23,27.68
2011-08-28,321.54,279.38,260.91,225.65,186.31,180.34,128.15,22.19
2011-09-04,390.39,322.48,289.29,270.96,255.84,197.27,177.2,22.17
2011-09-11,340.3,349.96,303.37,266.46,249.81,213.43,180.48,23.16
2011-09-18,375.44,313.21,318.37,281.74,257.18,233.11,174.36,30.6
2011-09-25,372.33,316.88,303.32,257.73,254.11,229.39,179.46,29.25
2011-10-02,519.03,475.6,469.74,431.78,399.42,367.8,346.24,356.54
2011-10-09,533.01,512.3,462.08,425.73,408.43,396.11,341.68,343.8
2011-10-16,546.34,489.18,463.18,432.18,410.73,386.63,340.95,343.47
